country,alpha_3_code,time_period,obs_value,sex
Afghanistan,AFG,2001,86.9,Female
Afghanistan,AFG,2002,87.0,Female
Afghanistan,AFG,2003,87.1,Female
Afghanistan,AFG,2004,87.1,Female
Afghanistan,AFG,2005,87.2,Female
Afghanistan,AFG,2006,87.2,Female
Afghanistan,AFG,2007,87.3,Female
Afghanistan,AFG,2008,87.3,Female
Afghanistan,AFG,2009,87.4,Female
Afghanistan,AFG,2010,87.5,Female
Afghanistan,AFG,2011,87.5,Female
Afghanistan,AFG,2012,87.6,Female
Afghanistan,AFG,2013,87.6,Female
Afghanistan,AFG,2014,87.7,Female
Afghanistan,AFG,2015,87.7,Female
Afghanistan,AFG,2016,87.8,Female
Afghanistan,AFG,2001,85.9,Male
Afghanistan,AFG,2002,86.1,Male
Afghanistan,AFG,2003,86.3,Male
Afghanistan,AFG,2004,86.4,Male
Afghanistan,AFG,2005,86.6,Male
Afghanistan,AFG,2006,86.8,Male
Afghanistan,AFG,2007,87.0,Male
Afghanistan,AFG,2008,87.1,Male
Afghanistan,AFG,2009,87.3,Male
Afghanistan,AFG,2010,87.5,Male
Afghanistan,AFG,2011,87.7,Male
Afghanistan,AFG,2012,87.8,Male
Afghanistan,AFG,2013,88.0,Male
Afghanistan,AFG,2014,88.2,Male
Afghanistan,AFG,2015,88.3,Male
Afghanistan,AFG,2016,88.5,Male
Afghanistan,AFG,2001,86.4,Total
Afghanistan,AFG,2002,86.5,Total
Afghanistan,AFG,2003,86.6,Total
Afghanistan,AFG,2004,86.8,Total
Afghanistan,AFG,2005,86.9,Total
Afghanistan,AFG,2006,87.0,Total
Afghanistan,AFG,2007,87.1,Total
Afghanistan,AFG,2008,87.2,Total
Afghanistan,AFG,2009,87.4,Total
Afghanistan,AFG,2010,87.5,Total
Afghanistan,AFG,2011,87.6,Total
Afghanistan,AFG,2012,87.7,Total
Afghanistan,AFG,2013,87.8,Total
Afghanistan,AFG,2014,87.9,Total
Afghanistan,AFG,2015,88.0,Total
Afghanistan,AFG,2016,88.1,Total
Albania,ALB,2001,80.3,Female
Albania,ALB,2002,80.3,Female
Albania,ALB,2003,80.3,Female
Albania,ALB,2004,80.3,Female
Albania,ALB,2005,80.4,Female
Albania,ALB,2006,80.4,Female
Albania,ALB,2007,80.4,Female
Albania,ALB,2008,80.4,Female
Albania,ALB,2009,80.4,Female
Albania,ALB,2010,80.5,Female
Albania,ALB,2011,80.5,Female
Albania,ALB,2012,80.5,Female
Albania,ALB,2013,80.5,Female
Albania,ALB,2014,80.5,Female
Albania,ALB,2015,80.6,Female
Albania,ALB,2016,80.6,Female
Albania,ALB,2001,72.0,Male
Albania,ALB,2002,71.7,Male
Albania,ALB,2003,71.4,Male
Albania,ALB,2004,71.1,Male
Albania,ALB,2005,70.9,Male
Albania,ALB,2006,70.6,Male
Albania,ALB,2007,70.3,Male
Albania,ALB,2008,70.0,Male
Albania,ALB,2009,69.7,Male
Albania,ALB,2010,69.4,Male
Albania,ALB,2011,69.1,Male
Albania,ALB,2012,68.8,Male
Albania,ALB,2013,68.5,Male
Albania,ALB,2014,68.2,Male
Albania,ALB,2015,67.9,Male
Albania,ALB,2016,67.6,Male
Albania,ALB,2001,76.1,Total
Albania,ALB,2002,76.0,Total
Albania,ALB,2003,75.8,Total
Albania,ALB,2004,75.7,Total
Albania,ALB,2005,75.5,Total
Albania,ALB,2006,75.3,Total
Albania,ALB,2007,75.2,Total
Albania,ALB,2008,75.0,Total
Albania,ALB,2009,74.9,Total
Albania,ALB,2010,74.7,Total
Albania,ALB,2011,74.6,Total
Albania,ALB,2012,74.5,Total
Albania,ALB,2013,74.3,Total
Albania,ALB,2014,74.2,Total
Albania,ALB,2015,74.0,Total
Albania,ALB,2016,73.9,Total
Algeria,DZA,2001,90.8,Female
Algeria,DZA,2002,90.8,Female
Algeria,DZA,2003,90.9,Female
Algeria,DZA,2004,90.9,Female
